,Date,Index Name,Value,Name
0,1988-01-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.0,CPIH
9821,1988-01-01,MISCELLANEOUS GOODS AND SERVICES,45.9,CPI
6832,1988-01-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",68.3,CPI
1281,1988-01-01,"HOUSING, WATER AND FUELS",31.7,CPIH
2989,1988-01-01,COMMUNICATION,98.1,CPIH
3416,1988-01-01,RECREATION & CULTURE,73.7,CPIH
6405,1988-01-01,"Housing, water, electricity, gas and other fuels",38.7,CPI
8967,1988-01-01,EDUCATION,12.3,CPI
3843,1988-01-01,EDUCATION,12.3,CPIH
1708,1988-01-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",68.9,CPIH
5978,1988-01-01,CLOTHING AND FOOTWEAR,192.0,CPI
5551,1988-01-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",27.3,CPI
2135,1988-01-01,HEALTH,37.9,CPIH
9394,1988-01-01,"HOTELS, CAFES AND RESTAURANTS",32.9,CPI
5124,1988-01-01,FOOD AND NON-ALCOHOLIC BEVERAGES,47.9,CPI
4697,1988-01-01,MISCELLANEOUS GOODS AND SERVICES,45.3,CPIH
4270,1988-01-01,"HOTELS, CAFES AND RESTAURANTS",32.9,CPIH
2562,1988-01-01,TRANSPORT,40.5,CPIH
7259,1988-01-01,HEALTH,37.6,CPI
7686,1988-01-01,TRANSPORT,40.3,CPI
427,1988-01-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",27.3,CPIH
8540,1988-01-01,RECREATION & CULTURE,73.3,CPI
854,1988-01-01,CLOTHING AND FOOTWEAR,192.5,CPIH
8113,1988-01-01,COMMUNICATION,97.0,CPI
2563,1988-02-01,TRANSPORT,40.5,CPIH
2990,1988-02-01,COMMUNICATION,98.0,CPIH
1709,1988-02-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",69.3,CPIH
3417,1988-02-01,RECREATION & CULTURE,73.9,CPIH
8114,1988-02-01,COMMUNICATION,97.0,CPI
5552,1988-02-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",27.4,CPI
3844,1988-02-01,EDUCATION,12.3,CPIH
1282,1988-02-01,"HOUSING, WATER AND FUELS",31.7,CPIH
428,1988-02-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",27.4,CPIH
9395,1988-02-01,"HOTELS, CAFES AND RESTAURANTS",33.0,CPI
6406,1988-02-01,"Housing, water, electricity, gas and other fuels",38.8,CPI
8541,1988-02-01,RECREATION & CULTURE,73.6,CPI
8968,1988-02-01,EDUCATION,12.3,CPI
5125,1988-02-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.2,CPI
6833,1988-02-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",68.6,CPI
4698,1988-02-01,MISCELLANEOUS GOODS AND SERVICES,45.5,CPIH
7260,1988-02-01,HEALTH,37.7,CPI
5979,1988-02-01,CLOTHING AND FOOTWEAR,193.2,CPI
855,1988-02-01,CLOTHING AND FOOTWEAR,193.7,CPIH
9822,1988-02-01,MISCELLANEOUS GOODS AND SERVICES,46.1,CPI
4271,1988-02-01,"HOTELS, CAFES AND RESTAURANTS",33.0,CPIH
2136,1988-02-01,HEALTH,37.9,CPIH
1,1988-02-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.3,CPIH
7687,1988-02-01,TRANSPORT,40.3,CPI
2,1988-03-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.4,CPIH
429,1988-03-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",27.5,CPIH
5126,1988-03-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.3,CPI
2137,1988-03-01,HEALTH,38.5,CPIH
3845,1988-03-01,EDUCATION,12.3,CPIH
2564,1988-03-01,TRANSPORT,40.7,CPIH
7688,1988-03-01,TRANSPORT,40.6,CPI
9396,1988-03-01,"HOTELS, CAFES AND RESTAURANTS",33.1,CPI
856,1988-03-01,CLOTHING AND FOOTWEAR,195.3,CPIH
7261,1988-03-01,HEALTH,38.2,CPI
6834,1988-03-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",69.2,CPI
8542,1988-03-01,RECREATION & CULTURE,73.6,CPI
2991,1988-03-01,COMMUNICATION,98.1,CPIH
1710,1988-03-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",69.8,CPIH
4699,1988-03-01,MISCELLANEOUS GOODS AND SERVICES,45.6,CPIH
8969,1988-03-01,EDUCATION,12.3,CPI
1283,1988-03-01,"HOUSING, WATER AND FUELS",31.7,CPIH
4272,1988-03-01,"HOTELS, CAFES AND RESTAURANTS",33.1,CPIH
5553,1988-03-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",27.4,CPI
9823,1988-03-01,MISCELLANEOUS GOODS AND SERVICES,46.1,CPI
5980,1988-03-01,CLOTHING AND FOOTWEAR,194.8,CPI
8115,1988-03-01,COMMUNICATION,97.0,CPI
3418,1988-03-01,RECREATION & CULTURE,74.0,CPIH
6407,1988-03-01,"Housing, water, electricity, gas and other fuels",39.0,CPI
